"PFE","UNH","JNJ","AZN","SYK","CVS","LLY","Dates","date"
9.972584,27.45994,13.131869,48.678005,27.326853,44.73019,24.781837,"2010-04-06",2010-04-06
10.037262,27.065426,13.202486,48.164097,27.182034,44.66856,24.788624,"2010-04-07",2010-04-07
10.078424,26.81064,13.137753,48.105141,27.799448,44.469921,24.788624,"2010-04-08",2010-04-08
10.143105,26.514748,13.278987,48.560074,28.378763,44.613758,25.005831,"2010-04-09",2010-04-09
10.166626,26.514748,13.326067,48.560074,28.188198,44.593212,24.822563,"2010-04-12",2010-04-12
10.101943,26.43256,13.323125,48.172531,28.340645,44.983604,25.060129,"2010-04-13",2010-04-13
10.037262,25.520247,13.326067,48.619038,28.401621,44.853455,24.836143,"2010-04-14",2010-04-14
9.990225,25.175039,13.411398,48.939186,28.485481,44.867161,24.924385,"2010-04-15",2010-04-15
9.8785,25.257236,13.337838,48.223083,28.31015,44.531567,24.802197,"2010-04-16",2010-04-16
9.872623,25.66819,13.308412,48.416847,28.226305,45.223309,24.829346,"2010-04-19",2010-04-19
9.854983,25.462709,13.455533,49.242474,28.355898,45.195919,24.795416,"2010-04-20",2010-04-20
9.760903,24.870934,13.358433,48.80439,28.193911,44.784966,24.442453,"2010-04-21",2010-04-21
9.690339,25.035316,13.205428,48.627464,28.140429,44.367191,24.014833,"2010-04-22",2010-04-22
9.943182,25.438053,13.278987,49.613163,28.277966,44.545265,24.069132,"2010-04-23",2010-04-23
9.890262,24.533949,13.214255,49.545761,28.17099,44.353508,23.9741,"2010-04-26",2010-04-26
9.678579,24.492863,12.822919,48.475815,27.704903,44.024757,23.668659,"2010-04-27",2010-04-27
9.719741,25.018887,12.852341,48.930756,28.354374,44.257618,23.593987,"2010-04-28",2010-04-28
9.913783,25.725719,13.046543,49.368843,28.468971,44.524719,23.784044,"2010-04-29",2010-04-29
9.831463,24.912033,13.014173,48.391567,28.209194,44.038456,23.73654,"2010-04-30",2010-04-30
9.943182,24.870934,12.97298,48.964451,28.33145,44.743885,23.885864,"2010-05-03",2010-05-03
10.148987,24.23807,12.952387,48.399994,27.873009,44.312405,23.763678,"2010-05-04",2010-05-04
10.208402,24.657248,12.70228,48.206215,27.552103,44.613758,23.811203,"2010-05-05",2010-05-05
9.946959,24.032591,12.263865,47.389038,26.925566,43.422039,23.349628,"2010-05-06",2010-05-06
9.780581,23.851767,12.131456,45.594563,26.635225,43.360405,23.498966,"2010-05-07",2010-05-07
10.101453,24.558611,12.519852,47.902946,27.636135,44.346645,23.858715,"2010-05-10",2010-05-10
10.107392,24.533949,12.522795,47.810265,27.315243,44.291855,23.946949,"2010-05-11",2010-05-11
10.042029,24.92025,12.767013,48.206215,27.750753,44.44939,23.940065,"2010-05-12",2010-05-12
9.839998,24.805185,12.696396,48.416847,27.888287,44.291855,23.747339,"2010-05-13",2010-05-13
9.626087,24.977783,12.372734,47.565952,27.338169,43.812428,23.348103,"2010-05-14",2010-05-14
9.57261,25.018887,12.519852,47.6502,27.406929,43.75079,23.410048,"2010-05-17",2010-05-17
9.394348,24.805185,12.343309,47.1026,26.89501,43.127541,23.141605,"2010-05-18",2010-05-18
9.40029,24.649027,12.422758,46.94252,26.703989,42.613876,23.30681,"2010-05-19",2010-05-19
9.049709,23.802458,12.066724,45.392376,25.871161,41.470116,22.948874,"2010-05-20",2010-05-20
9.150723,23.588758,12.231499,44.398262,26.207352,41.696121,22.797441,"2010-05-21",2010-05-21
9.043766,23.69561,12.181477,44.802635,25.939926,41.483814,22.701078,"2010-05-24",2010-05-24
8.948697,23.728481,12.163821,44.305584,26.031616,41.333138,22.542759,"2010-05-25",2010-05-25
8.978404,23.662729,12.037304,43.96859,25.802397,40.86055,22.198595,"2010-05-26",2010-05-26
9.132899,24.098345,12.313889,45.046967,26.428928,40.798347,22.590942,"2010-05-27",2010-05-27
9.049709,23.892866,12.431582,44.676285,26.459486,40.293819,22.570295,"2010-05-28",2010-05-28
8.907101,23.818892,12.449233,44.16238,26.237907,40.611744,22.405096,"2010-06-01",2010-06-01
9.031884,24.583269,12.825861,45.249153,26.89501,41.282154,22.859392,"2010-06-02",2010-06-02
9.049709,25.140381,12.805267,45.518742,26.788034,41.309799,22.969524,"2010-06-03",2010-06-03
8.770435,25.041344,12.496314,43.78326,25.817678,40.093391,22.281195,"2010-06-04",2010-06-04
8.627826,25.140381,12.396274,42.645897,23.716503,40.086472,22.425749,"2010-06-07",2010-06-07
8.645652,25.495281,12.466887,42.595371,23.808189,40.528801,22.646011,"2010-06-08",2010-06-08
8.627826,25.198162,12.543392,41.685505,23.433802,40.203976,22.680429,"2010-06-09",2010-06-09
8.859565,25.338467,12.996522,41.5844,24.3736,40.432049,23.031479,"2010-06-10",2010-06-10
9.186376,25.313707,13.246622,42.620636,24.511131,40.404392,23.176025,"2010-06-11",2010-06-11
9.109132,25.247679,13.249564,42.502697,24.350676,40.376751,23.313694,"2010-06-14",2010-06-14
9.222029,25.742893,13.52321,43.572636,24.610464,40.874386,23.671618,"2010-06-15",2010-06-15
9.198262,25.907965,13.470246,44.002293,24.358313,40.943497,23.478901,"2010-06-16",2010-06-16
9.192319,25.998751,13.473188,43.842232,24.327753,40.90202,23.671618,"2010-06-17",2010-06-17
9.037827,25.858446,13.384916,43.656891,24.778559,40.90202,23.823053,"2010-06-18",2010-06-18
8.972464,25.709881,13.202486,43.454685,24.281908,40.86747,23.857466,"2010-06-21",2010-06-21
8.89522,25.288948,13.214255,42.915485,23.991568,40.888206,23.712921,"2010-06-22",2010-06-22
8.841739,24.93404,13.211314,43.084003,24.014492,40.943497,23.788641,"2010-06-23",2010-06-23
8.592174,24.562635,13.261335,42.292088,23.525488,41.192303,23.733564,"2010-06-24",2010-06-24
8.69913,24.661676,13.208373,42.20784,23.380322,40.570278,23.361876,"2010-06-25",2010-06-25
8.639713,24.092182,13.158356,43.128876,23.601892,41.088623,23.416935,"2010-06-28",2010-06-28
8.485214,23.629978,14.341191,42.385277,22.784351,40.943497,23.231092,"2010-06-29",2010-06-29
8.473332,23.440147,13.867469,42.300789,22.402315,40.819073,23.059008,"2010-06-30",2010-06-30
8.455507,22.986206,13.991047,42.047279,22.333549,40.825989,22.797441,"2010-07-01",2010-07-01
8.402028,23.357611,13.843927,42.148682,22.218941,40.832897,23.176025,"2010-07-02",2010-07-02
8.491158,23.844572,14.055781,42.60498,21.813988,40.832897,23.341221,"2010-07-06",2010-07-06
8.687246,24.10043,14.220556,44.151333,22.257145,41.890369,23.857466,"2010-07-07",2010-07-07
8.806087,24.496603,14.350015,44.345673,22.486357,42.422546,24.215401,"2010-07-08",2010-07-08
8.776377,24.73596,14.417691,44.261181,22.76907,41.84198,24.208517,"2010-07-09",2010-07-09
8.871449,24.79373,14.379438,44.058392,22.898956,41.613895,24.180977,"2010-07-12",2010-07-12
8.78826,24.87627,14.597175,44.886471,23.342115,41.814335,24.236052,"2010-07-13",2010-07-13
8.81797,25.024839,14.703101,44.827347,23.433802,41.89727,23.953831,"2010-07-14",2010-07-14
8.8358,25.487036,14.809031,44.413296,23.517849,41.648453,24.208517,"2010-07-15",2010-07-15
8.65159,25.041344,14.3559,43.26408,22.952446,41.081726,23.8437,"2010-07-16",2010-07-16
8.752607,25.437508,14.435347,43.542938,23.044132,41.171585,24.084625,"2010-07-19",2010-07-19
8.645652,25.445765,14.535386,43.34013,23.364443,40.487331,24.270462,"2010-07-20",2010-07-20
8.615945,25.338467,14.191125,39.503819,22.958303,39.478268,24.057085,"2010-07-21",2010-07-21
8.800145,25.586077,14.458885,39.82494,22.92765,39.409164,24.194756,"2010-07-22",2010-07-22
8.663479,25.520046,14.305884,40.416428,23.701614,39.83075,24.208517,"2010-07-23",2010-07-23
8.924924,25.973991,14.861991,39.850269,23.755253,39.906776,24.394358,"2010-07-26",2010-07-26
9.073479,25.404493,14.691335,40.129116,23.448736,40.155586,24.848667,"2010-07-27",2010-07-27
8.913042,25.033087,15.15623,39.588333,24.169058,39.968987,24.552677,"2010-07-28",2010-07-28
8.96652,25.123878,14.888475,38.996826,23.678621,39.968987,24.401251,"2010-07-29",2010-07-29
8.913042,25.132132,14.841397,39.35173,23.517702,40.148666,24.504498,"2010-07-30",2010-07-30
9.198262,25.949234,15.212137,40.213627,23.847208,40.584095,25.013863,"2010-08-02",2010-08-02
9.709275,26.758085,15.37691,40.357285,23.647974,41.019512,25.179056,"2010-08-03",2010-08-03
9.877503,27.16251,15.329195,40.492474,23.418079,41.28907,25.316721,"2010-08-04",2010-08-04
9.727301,27.583447,15.505156,40.610779,23.080908,41.302883,25.36491,"2010-08-05",2010-08-05
9.75734,27.6082,15.597605,40.534729,22.866344,41.441124,25.378681,"2010-08-06",2010-08-06
9.865491,27.641218,15.690057,40.619236,22.988956,41.503319,25.440628,"2010-08-09",2010-08-09
9.955613,27.509159,15.928643,40.247417,22.743742,41.074818,25.998171,"2010-08-10",2010-08-10
9.613144,26.403175,15.266562,39.39397,21.931467,40.432049,25.600666,"2010-08-11",2010-08-11
9.733311,26.51873,15.305333,39.436226,22.176682,40.445862,25.523964,"2010-08-12",2010-08-12
9.661206,26.436195,15.326214,39.35173,21.992765,40.190144,24.896322,"2010-08-13",2010-08-13
9.631169,26.328897,15.451468,39.284122,21.992765,40.093391,24.805664,"2010-08-16",2010-08-16
