,1960 ,1970 ,1980 ,1990 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
Amount in Billions,27.10,74.10,253.20,718.70,1366.00,1483.40,1631.00,1770.40,1894.70,2026.60,2165.10,2305.50,2402.40,2492.70,2589.60,2676.50,2783.30,2856.60,3002.60,3165.40,3307.40,3446.50,3604.40,3757.40,4144.10,4255.10
Average Annual Percent Change from Previous Year Shown ,10.6%,13.1%,11.0%,6.6%,8.6%,9.9%,8.5%,7.0%,7.0%,6.8%,6.5%,4.2%,3.8%,3.9%,3.4%,4.0%,2.6%,5.1%,5.4%,4.5%,4.2%,4.6%,4.2%,10.3%,2.7%,
Per Capita Amount,146,353,1099,2835,4845,5213,5680,6114,6483,6872,7270,7667,7911,8136,8381,8599,8877,9048,9440,9879,10247,10611,11040,11456,12591,12914
