OverallStatus,AdverseEffectsorDeath,DurationDays,EnrollmentCount,ArmNumber
Completed,0.015418502202643172,319.0,908.0,2
Completed,0.06666666666666667,882.0,15.0,1
Completed,0.0014903129657228018,430.0,671.0,2
Completed,0.08333333333333333,1704.0,60.0,2
Completed,0.004878048780487805,497.0,1025.0,2
Completed,0.0761904761904762,639.0,105.0,1
Completed,0.12146422628951747,760.0,601.0,8
Completed,0.25,1236.0,260.0,5
Completed,0.05042816365366318,562.0,1051.0,3
Completed,0.006766917293233083,1919.0,1330.0,2
Completed,1.4,6022.0,5.0,4
Completed,0.015384615384615385,579.0,910.0,2
Completed,0.005474452554744526,183.0,548.0,3
Completed,0.06976744186046512,1002.0,43.0,5
Completed,0.0,693.0,180.0,2
Completed,0.5714285714285714,1116.0,77.0,2
Completed,0.477124183006536,1034.0,459.0,3
Completed,0.0,678.0,30.0,2
Completed,0.12861736334405144,701.0,622.0,3
Completed,0.1013215859030837,357.0,454.0,5
Completed,0.004966887417218543,455.0,604.0,2
Completed,0.3259668508287293,1522.0,181.0,2
Completed,0.0,1461.0,46.0,2
Completed,0.0,1308.0,538.0,3
Completed,0.0,946.0,27.0,5
Completed,0.0,244.0,100.0,1
Completed,1.144927536231884,730.0,69.0,5
Completed,0.024390243902439025,550.0,123.0,2
Completed,0.0,365.0,13.0,1
Completed,0.00340522133938706,487.0,881.0,4
Completed,0.7735849056603774,4414.0,53.0,11
Completed,0.03333333333333333,2069.0,30.0,1
Completed,0.07378472222222222,656.0,1152.0,3
Completed,0.016666666666666666,335.0,60.0,1
Completed,0.0,1034.0,19.0,1
Completed,0.1583710407239819,945.0,221.0,2
Completed,0.01276595744680851,791.0,235.0,1
Completed,0.0,225.0,38.0,1
Completed,0.029668411867364748,611.0,573.0,2
Terminated,0.13333333333333333,1190.0,15.0,1
Terminated,0.0,486.0,2.0,2
Terminated,0.006825938566552901,699.0,293.0,2
Terminated,0.16393442622950818,365.0,61.0,3
Terminated,0.0,371.0,9.0,1
Terminated,0.0,234.0,62.0,2
Terminated,0.09090909090909091,1005.0,11.0,2
Terminated,1.0,92.0,2.0,2
Terminated,0.0,700.0,10.0,2
Terminated,0.0,1156.0,4.0,2
Terminated,0.0,972.0,12.0,3
Terminated,0.0,275.0,6.0,2
Terminated,0.16363636363636364,2404.0,220.0,2
Terminated,0.0,485.0,16.0,2
Terminated,0.002173913043478261,321.0,460.0,2
Terminated,0.2916666666666667,999.0,24.0,2
Terminated,0.14285714285714285,884.0,14.0,2
Terminated,0.10792113455551712,1127.0,2891.0,2
Terminated,0.25,214.0,4.0,3
Terminated,0.18421052631578946,744.0,38.0,2
Terminated,0.0,518.0,12.0,2
Terminated,0.6153846153846154,358.0,26.0,2
Terminated,0.0,964.0,5.0,1
Terminated,0.0,159.0,14.0,3
Terminated,0.24647887323943662,2540.0,142.0,4
Terminated,0.0,579.0,33.0,1
Terminated,0.0,1004.0,44.0,2
Terminated,0.0,184.0,2.0,1
Terminated,0.23529411764705882,1188.0,17.0,1
Terminated,0.03496503496503497,376.0,143.0,3
Terminated,0.0,123.0,133.0,2
Terminated,0.4838709677419355,1461.0,31.0,1
Terminated,0.7692307692307693,1766.0,13.0,2
