,AZN,Dates
227,43.616894,2010-11-26
228,43.03207,2010-11-29
229,42.455708,2010-11-30
230,43.184635,2010-12-01
231,43.566032,2010-12-02
232,44.167816,2010-12-03
233,43.676224,2010-12-06
234,43.464333,2010-12-07
235,44.150875,2010-12-08
236,44.922192,2010-12-09
237,44.922192,2010-12-10
238,44.989983,2010-12-13
239,45.812138,2010-12-14
240,45.388348,2010-12-15
241,46.091866,2010-12-16
242,46.218994,2010-12-17
243,46.447842,2010-12-20
244,45.922325,2010-12-21
245,46.091866,2010-12-22
246,45.515491,2010-12-23
247,45.778233,2010-12-27
248,45.812138,2010-12-28
249,46.00774,2010-12-29
250,45.990738,2010-12-30
251,45.667572,2010-12-31
252,46.415943,2011-01-03
253,46.228848,2011-01-04
254,46.483971,2011-01-05
255,46.466965,2011-01-06
256,46.194828,2011-01-07
257,46.517986,2011-01-10
258,49.32439,2011-01-11
259,49.1628,2011-01-12
260,49.026733,2011-01-13
261,49.171318,2011-01-14
262,49.656036,2011-01-18
263,48.967201,2011-01-19
264,48.644054,2011-01-20
265,49.026733,2011-01-21
266,48.984211,2011-01-24
267,49.639038,2011-01-25
268,48.771618,2011-01-26
269,49.417934,2011-01-27
270,48.644054,2011-01-28
271,48.950207,2011-01-31
272,49.783607,2011-02-01
273,49.494469,2011-02-02
274,49.67305,2011-02-03
275,49.758118,2011-02-04
276,50.583004,2011-02-07
277,50.770096,2011-02-08
278,50.855148,2011-02-09
279,50.982712,2011-02-10
280,51.212307,2011-02-11
281,51.441936,2011-02-14
282,51.246334,2011-02-15
283,51.901169,2011-02-16
284,51.688568,2011-02-17
285,53.576504,2011-02-18
286,52.658028,2011-02-22
287,52.521965,2011-02-23
288,52.351883,2011-02-24
289,53.62751,2011-02-25
290,53.797585,2011-02-28
291,53.125759,2011-03-01
292,53.62751,2011-03-02
293,54.903141,2011-03-03
294,54.146271,2011-03-04
295,53.84013,2011-03-07
296,55.336872,2011-03-08
297,54.733044,2011-03-09
298,53.50845,2011-03-10
299,53.593491,2011-03-11
300,53.015198,2011-03-14
301,52.224308,2011-03-15
302,51.314365,2011-03-16
303,51.526974,2011-03-17
304,52.317863,2011-03-18
305,52.751579,2011-03-21
306,52.504959,2011-03-22
307,52.173279,2011-03-23
308,52.03722,2011-03-24
309,51.977688,2011-03-25
310,51.629025,2011-03-28
311,52.106678,2011-03-29
312,51.825207,2011-03-30
313,51.859333,2011-03-31
314,51.944622,2011-04-01
315,52.447865,2011-04-04
316,51.620487,2011-04-05
317,51.39872,2011-04-06
318,51.049011,2011-04-07
319,50.929607,2011-04-08
320,51.176952,2011-04-11
321,50.912556,2011-04-12
322,51.040485,2011-04-13
323,51.066082,2011-04-14
324,51.774014,2011-04-15
325,51.185482,2011-04-18
326,52.115211,2011-04-19
327,49.820763,2011-04-20
328,49.906082,2011-04-21
329,49.488121,2011-04-25
330,49.752537,2011-04-26
331,49.803699,2011-04-27
332,50.477539,2011-04-28
333,50.324013,2011-04-29
334,50.528732,2011-05-02
335,50.622551,2011-05-03
336,50.724892,2011-05-04
337,50.929607,2011-05-05
338,50.912556,2011-05-06
339,51.270779,2011-05-09
340,52.029896,2011-05-10
341,52.74638,2011-05-11
342,53.87228,2011-05-12
343,53.974617,2011-05-13
344,54.384045,2011-05-16
345,54.418159,2011-05-17
346,54.588753,2011-05-18
347,54.588753,2011-05-19
348,54.09404,2011-05-20
349,53.778458,2011-05-23
350,53.514023,2011-05-24
351,53.130215,2011-05-25
352,53.061977,2011-05-26
353,53.019356,2011-05-27
354,53.224045,2011-05-31
355,52.285782,2011-06-01
356,52.038448,2011-06-02
357,51.347534,2011-06-03
358,49.965771,2011-06-06
359,50.562828,2011-06-07
360,50.016941,2011-06-08
361,50.306938,2011-06-09
362,49.616062,2011-06-10
363,49.931656,2011-06-13
364,50.221645,2011-06-14
365,49.462532,2011-06-15
366,49.471069,2011-06-16
367,49.223709,2011-06-17
368,49.471069,2011-06-20
369,49.709885,2011-06-21
370,49.812237,2011-06-22
371,49.667229,2011-06-23
372,48.94223,2011-06-24
373,49.419868,2011-06-27
374,50.198483,2011-06-28
375,49.736462,2011-06-29
376,50.215599,2011-06-30
377,51.576004,2011-07-01
378,51.054085,2011-07-05
379,51.208099,2011-07-06
380,51.849804,2011-07-07
381,51.456234,2011-07-08
382,50.104382,2011-07-11
383,50.592083,2011-07-12
384,50.754631,2011-07-13
385,50.172817,2011-07-14
386,49.993141,2011-07-15
387,49.847675,2011-07-18
388,50.617733,2011-07-19
389,48.692623,2011-07-20
390,49.30867,2011-07-21
391,48.666943,2011-07-22
392,48.102249,2011-07-25
393,47.161076,2011-07-26
394,46.613495,2011-07-27
395,46.245571,2011-07-28
396,46.49371,2011-07-29
397,45.432758,2011-08-01
398,44.20924,2011-08-02
399,44.551487,2011-08-03
400,42.480904,2011-08-04
401,42.814598,2011-08-05
402,40.581459,2011-08-08
403,41.933311,2011-08-09
404,39.392162,2011-08-10
405,40.709801,2011-08-11
406,41.531181,2011-08-12
407,42.053101,2011-08-15
408,41.428505,2011-08-16
409,40.701248,2011-08-17
410,38.134418,2011-08-18
411,37.475605,2011-08-19
412,37.544056,2011-08-22
413,39.477718,2011-08-23
414,40.230656,2011-08-24
415,39.469162,2011-08-25
416,39.503403,2011-08-26
417,41.103371,2011-08-29
418,40.803917,2011-08-30
419,41.787872,2011-08-31
420,41.274506,2011-09-01
421,40.444569,2011-09-02
422,40.889477,2011-09-06
423,42.592129,2011-09-07
424,41.650963,2011-09-08
425,40.11087,2011-09-09
426,40.102322,2011-09-12
427,40.761139,2011-09-13
428,41.67664,2011-09-14
429,42.44669,2011-09-15
430,42.215668,2011-09-16
431,41.496952,2011-09-19
432,41.488407,2011-09-20
433,40.410336,2011-09-21
434,39.546173,2011-09-22
435,39.494835,2011-09-23
436,40.444569,2011-09-26
437,42.061649,2011-09-27
438,41.640873,2011-09-28
439,41.409004,2011-09-29
440,40.472973,2011-09-30
441,38.944401,2011-10-03
442,40.163811,2011-10-04
443,40.902344,2011-10-05
444,41.065517,2011-10-06
445,41.117046,2011-10-07
446,42.413746,2011-10-10
447,43.023449,2011-10-11
448,43.074978,2011-10-12
449,43.092159,2011-10-13
450,42.954758,2011-10-14
451,41.6838,2011-10-17
452,42.121777,2011-10-18
453,42.430927,2011-10-19
454,41.460545,2011-10-20
455,42.224823,2011-10-21
456,42.937592,2011-10-24
457,41.426186,2011-10-25
458,41.503483,2011-10-26
459,42.379391,2011-10-27
460,42.868874,2011-10-28
461,41.142784,2011-10-31
462,40.361328,2011-11-01
463,41.013977,2011-11-02
464,41.838371,2011-11-03
465,41.700977,2011-11-04
466,42.130371,2011-11-07
467,42.774418,2011-11-08
468,40.79071,2011-11-09
469,41.45195,2011-11-10
470,42.491032,2011-11-11
471,42.027302,2011-11-14
472,42.559734,2011-11-15
473,41.889908,2011-11-16
474,41.142784,2011-11-17
475,41.056915,2011-11-18
476,39.7001,2011-11-21
477,39.811722,2011-11-22
478,39.047436,2011-11-23
479,39.090385,2011-11-25
480,40.326981,2011-11-28
