DATE,PAYEMS
1985-04-01,97269.666666666667
1985-07-01,97844.333333333333
1985-10-01,98428.333333333333
1986-01-01,98837.666666666667
1986-04-01,99174.666666666667
1986-07-01,99665.000000000000
1986-10-01,100312.666666666667
1987-01-01,100920.333333333333
1987-04-01,101709.000000000000
1987-07-01,102438.000000000000
1987-10-01,103390.333333333333
1988-01-01,104152.000000000000
1988-04-01,105006.666666666667
1988-07-01,105745.666666666667
1988-10-01,106597.000000000000
1989-01-01,107403.000000000000
1989-04-01,107910.333333333333
1989-07-01,108186.000000000000
1989-10-01,108688.000000000000
1990-01-01,109418.666666666667
1990-04-01,109786.666666666667
1990-07-01,109651.000000000000
1990-10-01,109255.000000000000
1991-01-01,108783.000000000000
1991-04-01,108312.333333333333
1991-07-01,108308.333333333333
1991-10-01,108331.666666666667
1992-01-01,108346.666666666667
1992-04-01,108626.666666666667
1992-07-01,108892.000000000000
1992-10-01,109305.333333333333
1993-01-01,109943.333333333333
1993-04-01,110538.666666666667
1993-07-01,111241.333333333333
1993-10-01,112015.000000000000
1994-01-01,112872.333333333333
1994-04-01,113915.666666666667
1994-07-01,114920.000000000000
1994-10-01,115834.333333333333
1995-01-01,116701.000000000000
1995-04-01,117133.333333333333
1995-07-01,117632.000000000000
1995-10-01,118174.000000000000
1996-01-01,118680.666666666667
1996-04-01,119471.666666666667
1996-07-01,120206.000000000000
1996-10-01,120919.000000000000
1997-01-01,121675.666666666667
1997-04-01,122550.333333333333
1997-07-01,123260.333333333333
1997-10-01,124234.666666666667
1998-01-01,124998.666666666667
1998-04-01,125790.666666666667
1998-07-01,126500.000000000000
1998-10-01,127257.666666666667
1999-01-01,128018.666666666667
1999-04-01,128832.000000000000
1999-07-01,129590.666666666667
1999-10-01,130475.000000000000
2000-01-01,131244.666666666667
2000-04-01,132016.666666666667
2000-07-01,132271.000000000000
2000-10-01,132541.000000000000
2001-01-01,132745.333333333333
2001-04-01,132388.000000000000
2001-07-01,131986.666666666667
2001-10-01,131193.000000000000
2002-01-01,130768.333333333333
2002-04-01,130644.333333333333
2002-07-01,130556.000000000000
2002-10-01,130569.666666666667
2003-01-01,130418.333333333333
2003-04-01,130188.333333333333
2003-07-01,130196.000000000000
2003-10-01,130505.333333333333
2004-01-01,130908.666666666667
2004-04-01,131631.000000000000
2004-07-01,131955.666666666667
2004-10-01,132525.000000000000
2005-01-01,132988.000000000000
2005-04-01,133714.333333333333
2005-07-01,134447.666666666667
2005-10-01,134935.333333333333
2006-01-01,135732.000000000000
2006-04-01,136262.000000000000
2006-07-01,136678.000000000000
2006-10-01,137056.666666666667
2007-01-01,137603.666666666667
2007-04-01,137969.333333333333
2007-07-01,138054.000000000000
2007-10-01,138288.000000000000
2008-01-01,138325.666666666667
2008-04-01,137858.000000000000
2008-07-01,137153.000000000000
2008-10-01,135563.000000000000
2009-01-01,133291.000000000000
2009-04-01,131432.333333333333
2009-07-01,130460.333333333333
2009-10-01,129976.333333333333
2010-01-01,129787.333333333333
2010-04-01,130420.333333333333
2010-07-01,130394.333333333333
2010-10-01,130736.333333333333
2011-01-01,131057.000000000000
2011-04-01,131748.000000000000
2011-07-01,132153.333333333333
2011-10-01,132719.666666666667
2012-01-01,133502.666666666667
2012-04-01,133923.000000000000
2012-07-01,134331.666666666667
2012-10-01,134860.000000000000
2013-01-01,135499.333333333333
2013-04-01,136078.666666666667
2013-07-01,136615.000000000000
2013-10-01,137240.333333333333
2014-01-01,137748.333333333333
2014-04-01,138544.000000000000
2014-07-01,139299.000000000000
2014-10-01,140086.666666666667
2015-01-01,140771.666666666667
2015-04-01,141479.000000000000
2015-07-01,142128.000000000000
2015-10-01,142826.000000000000
2016-01-01,143424.666666666667
2016-04-01,143969.666666666667
2016-07-01,144713.333333333333
2016-10-01,145222.000000000000
2017-01-01,145819.666666666667
2017-04-01,146383.000000000000
2017-07-01,146892.666666666667
2017-10-01,147348.333333333333
2018-01-01,148003.000000000000
2018-04-01,148715.666666666667
2018-07-01,149218.333333333333
2018-10-01,149651.000000000000
2019-01-01,150175.333333333333
2019-04-01,150663.333333333333
2019-07-01,151102.666666666667
2019-10-01,151624.333333333333
2020-01-01,151804.333333333333
2020-04-01,133701.666666666667
2020-07-01,140541.000000000000
2020-10-01,142565.666666666667
2021-01-01,143613.666666666667
2021-04-01,145166.333333333333
2021-07-01,147185.666666666667
2021-10-01,149158.000000000000
2022-01-01,150846.666666666667
2022-04-01,152044.000000000000
2022-07-01,153331.333333333333
2022-10-01,154286.000000000000
