Dates,AZN
2010-12-03,44.167816
2010-12-06,43.676224
2010-12-07,43.464333
2010-12-08,44.150875
2010-12-09,44.922192
2010-12-10,44.922192
2010-12-13,44.989983
2010-12-14,45.812138
2010-12-15,45.388348
2010-12-16,46.091866
2010-12-17,46.218994
2010-12-20,46.447842
2010-12-21,45.922325
2010-12-22,46.091866
2010-12-23,45.515491
2010-12-27,45.778233
2010-12-28,45.812138
2010-12-29,46.00774
2010-12-30,45.990738
2010-12-31,45.667572
2011-01-03,46.415943
2011-01-04,46.228848
2011-01-05,46.483971
2011-01-06,46.466965
2011-01-07,46.194828
2011-01-10,46.517986
2011-01-11,49.32439
2011-01-12,49.1628
2011-01-13,49.026733
2011-01-14,49.171318
2011-01-18,49.656036
2011-01-19,48.967201
2011-01-20,48.644054
2011-01-21,49.026733
2011-01-24,48.984211
2011-01-25,49.639038
2011-01-26,48.771618
2011-01-27,49.417934
2011-01-28,48.644054
2011-01-31,48.950207
2011-02-01,49.783607
2011-02-02,49.494469
2011-02-03,49.67305
2011-02-04,49.758118
2011-02-07,50.583004
2011-02-08,50.770096
2011-02-09,50.855148
2011-02-10,50.982712
2011-02-11,51.212307
2011-02-14,51.441936
2011-02-15,51.246334
2011-02-16,51.901169
2011-02-17,51.688568
2011-02-18,53.576504
2011-02-22,52.658028
2011-02-23,52.521965
2011-02-24,52.351883
2011-02-25,53.62751
2011-02-28,53.797585
2011-03-01,53.125759
2011-03-02,53.62751
2011-03-03,54.903141
2011-03-04,54.146271
2011-03-07,53.84013
2011-03-08,55.336872
2011-03-09,54.733044
2011-03-10,53.50845
2011-03-11,53.593491
2011-03-14,53.015198
2011-03-15,52.224308
2011-03-16,51.314365
2011-03-17,51.526974
2011-03-18,52.317863
2011-03-21,52.751579
2011-03-22,52.504959
2011-03-23,52.173279
2011-03-24,52.03722
2011-03-25,51.977688
2011-03-28,51.629025
2011-03-29,52.106678
2011-03-30,51.825207
2011-03-31,51.859333
2011-04-01,51.944622
2011-04-04,52.447865
2011-04-05,51.620487
2011-04-06,51.39872
2011-04-07,51.049011
2011-04-08,50.929607
2011-04-11,51.176952
2011-04-12,50.912556
2011-04-13,51.040485
2011-04-14,51.066082
2011-04-15,51.774014
2011-04-18,51.185482
2011-04-19,52.115211
2011-04-20,49.820763
2011-04-21,49.906082
2011-04-25,49.488121
2011-04-26,49.752537
2011-04-27,49.803699
2011-04-28,50.477539
2011-04-29,50.324013
2011-05-02,50.528732
2011-05-03,50.622551
2011-05-04,50.724892
2011-05-05,50.929607
2011-05-06,50.912556
2011-05-09,51.270779
2011-05-10,52.029896
2011-05-11,52.74638
2011-05-12,53.87228
2011-05-13,53.974617
2011-05-16,54.384045
2011-05-17,54.418159
2011-05-18,54.588753
2011-05-19,54.588753
2011-05-20,54.09404
2011-05-23,53.778458
2011-05-24,53.514023
2011-05-25,53.130215
2011-05-26,53.061977
2011-05-27,53.019356
2011-05-31,53.224045
2011-06-01,52.285782
2011-06-02,52.038448
2011-06-03,51.347534
2011-06-06,49.965771
2011-06-07,50.562828
2011-06-08,50.016941
2011-06-09,50.306938
2011-06-10,49.616062
2011-06-13,49.931656
2011-06-14,50.221645
2011-06-15,49.462532
2011-06-16,49.471069
2011-06-17,49.223709
2011-06-20,49.471069
2011-06-21,49.709885
2011-06-22,49.812237
2011-06-23,49.667229
2011-06-24,48.94223
2011-06-27,49.419868
2011-06-28,50.198483
2011-06-29,49.736462
2011-06-30,50.215599
2011-07-01,51.576004
2011-07-05,51.054085
2011-07-06,51.208099
2011-07-07,51.849804
2011-07-08,51.456234
2011-07-11,50.104382
2011-07-12,50.592083
2011-07-13,50.754631
2011-07-14,50.172817
2011-07-15,49.993141
2011-07-18,49.847675
2011-07-19,50.617733
2011-07-20,48.692623
2011-07-21,49.30867
2011-07-22,48.666943
2011-07-25,48.102249
2011-07-26,47.161076
2011-07-27,46.613495
2011-07-28,46.245571
2011-07-29,46.49371
2011-08-01,45.432758
2011-08-02,44.20924
2011-08-03,44.551487
2011-08-04,42.480904
2011-08-05,42.814598
2011-08-08,40.581459
2011-08-09,41.933311
2011-08-10,39.392162
2011-08-11,40.709801
2011-08-12,41.531181
2011-08-15,42.053101
2011-08-16,41.428505
2011-08-17,40.701248
2011-08-18,38.134418
2011-08-19,37.475605
2011-08-22,37.544056
2011-08-23,39.477718
2011-08-24,40.230656
2011-08-25,39.469162
2011-08-26,39.503403
2011-08-29,41.103371
2011-08-30,40.803917
2011-08-31,41.787872
2011-09-01,41.274506
2011-09-02,40.444569
2011-09-06,40.889477
2011-09-07,42.592129
2011-09-08,41.650963
2011-09-09,40.11087
2011-09-12,40.102322
2011-09-13,40.761139
2011-09-14,41.67664
2011-09-15,42.44669
2011-09-16,42.215668
2011-09-19,41.496952
2011-09-20,41.488407
2011-09-21,40.410336
2011-09-22,39.546173
2011-09-23,39.494835
2011-09-26,40.444569
2011-09-27,42.061649
2011-09-28,41.640873
2011-09-29,41.409004
2011-09-30,40.472973
2011-10-03,38.944401
2011-10-04,40.163811
2011-10-05,40.902344
2011-10-06,41.065517
2011-10-07,41.117046
2011-10-10,42.413746
2011-10-11,43.023449
2011-10-12,43.074978
2011-10-13,43.092159
2011-10-14,42.954758
2011-10-17,41.6838
2011-10-18,42.121777
2011-10-19,42.430927
